,latitude,longitude,total_number_of_crimes,theft,assault,robbery,burglary,homocide,other
135,38.82763596626746,-77.00278835963066,485.0,294.0,85.0,72.0,23.0,0.0,11.0
191,38.854629190968055,-76.96679739336317,488.0,321.0,74.0,51.0,26.0,0.0,16.0
94,38.95360434820358,-77.02978158433127,494.0,392.0,24.0,49.0,22.0,0.0,7.0
221,38.88162241566865,-76.93080642709567,498.0,333.0,63.0,62.0,23.0,0.0,17.0
170,38.872624674101786,-76.98479287649691,509.0,362.0,53.0,48.0,31.0,0.0,15.0
25,38.89961789880238,-77.06577255059877,517.0,448.0,5.0,7.0,56.0,0.0,1.0
114,38.95360434820358,-77.0207838427644,520.0,420.0,25.0,44.0,24.0,0.0,7.0
142,38.89062015723552,-77.00278835963066,521.0,467.0,6.0,21.0,25.0,0.0,2.0
95,38.96260208977044,-77.02978158433127,525.0,418.0,19.0,61.0,15.0,0.0,12.0
181,38.86362693253492,-76.97579513493004,540.0,355.0,87.0,51.0,23.0,0.0,24.0
184,38.89062015723552,-76.97579513493004,561.0,453.0,34.0,42.0,21.0,0.0,11.0
175,38.917613381936114,-76.98479287649691,561.0,424.0,64.0,37.0,30.0,0.0,6.0
52,38.92661112350298,-77.04777706746502,562.0,479.0,8.0,29.0,44.0,0.0,2.0
218,38.89062015723552,-76.93980416866255,566.0,430.0,48.0,60.0,19.0,0.0,9.0
36,38.89961789880238,-77.0567748090319,572.0,511.0,10.0,9.0,37.0,0.0,5.0
213,38.89961789880238,-76.94880191022942,573.0,408.0,53.0,73.0,25.0,0.0,14.0
145,38.917613381936114,-77.00278835963066,580.0,466.0,37.0,47.0,29.0,0.0,1.0
223,38.89961789880238,-76.93080642709567,596.0,433.0,59.0,69.0,19.0,0.0,16.0
169,38.86362693253492,-76.98479287649691,606.0,400.0,75.0,69.0,39.0,0.0,23.0
141,38.88162241566865,-77.00278835963066,619.0,516.0,20.0,44.0,35.0,0.0,4.0
212,38.89062015723552,-76.94880191022942,624.0,427.0,79.0,73.0,25.0,0.0,20.0
171,38.88162241566865,-76.98479287649691,628.0,541.0,18.0,42.0,20.0,0.0,7.0
219,38.89961789880238,-76.93980416866255,645.0,470.0,59.0,75.0,30.0,0.0,11.0
222,38.89062015723552,-76.93080642709567,688.0,503.0,63.0,90.0,16.0,0.0,16.0
161,38.917613381936114,-76.99379061806378,707.0,585.0,46.0,47.0,27.0,0.0,2.0
93,38.94460660663671,-77.02978158433127,710.0,593.0,30.0,51.0,32.0,0.0,4.0
26,38.90861564036925,-77.06577255059877,719.0,613.0,7.0,12.0,86.0,0.0,1.0
113,38.94460660663671,-77.0207838427644,719.0,627.0,26.0,37.0,24.0,0.0,5.0
128,38.917613381936114,-77.01178610119753,722.0,587.0,42.0,51.0,37.0,0.0,5.0
51,38.917613381936114,-77.04777706746502,747.0,617.0,8.0,40.0,78.0,0.0,4.0
111,38.92661112350298,-77.0207838427644,751.0,631.0,30.0,51.0,27.0,0.0,12.0
37,38.90861564036925,-77.0567748090319,757.0,653.0,9.0,18.0,76.0,0.0,1.0
49,38.89961789880238,-77.04777706746502,780.0,679.0,11.0,25.0,57.0,0.0,8.0
162,38.92661112350298,-76.99379061806378,782.0,667.0,35.0,50.0,27.0,0.0,3.0
66,38.89961789880238,-77.03877932589815,801.0,672.0,25.0,24.0,74.0,0.0,6.0
160,38.90861564036925,-76.99379061806378,814.0,675.0,41.0,54.0,37.0,0.0,7.0
172,38.89062015723552,-76.98479287649691,816.0,702.0,17.0,61.0,27.0,0.0,9.0
157,38.88162241566865,-76.99379061806378,825.0,709.0,21.0,54.0,35.0,0.0,6.0
112,38.935608865069845,-77.0207838427644,850.0,747.0,24.0,43.0,25.0,0.0,11.0
185,38.89961789880238,-76.97579513493004,883.0,642.0,100.0,85.0,35.0,0.0,21.0
126,38.89961789880238,-77.01178610119753,929.0,764.0,51.0,45.0,42.0,0.0,27.0
70,38.935608865069845,-77.03877932589815,943.0,754.0,38.0,101.0,38.0,0.0,12.0
174,38.90861564036925,-76.98479287649691,968.0,730.0,96.0,75.0,58.0,0.0,9.0
158,38.89062015723552,-76.99379061806378,999.0,886.0,14.0,63.0,33.0,0.0,3.0
50,38.90861564036925,-77.04777706746502,1092.0,934.0,13.0,44.0,94.0,0.0,7.0
144,38.90861564036925,-77.00278835963066,1152.0,979.0,64.0,58.0,38.0,0.0,13.0
143,38.89961789880238,-77.00278835963066,1233.0,1095.0,32.0,49.0,46.0,0.0,11.0
159,38.89961789880238,-76.99379061806378,1276.0,1108.0,32.0,66.0,64.0,0.0,6.0
110,38.917613381936114,-77.0207838427644,1286.0,1081.0,55.0,91.0,54.0,0.0,5.0
127,38.90861564036925,-77.01178610119753,1333.0,1095.0,81.0,79.0,56.0,0.0,22.0
173,38.89961789880238,-76.98479287649691,1357.0,1066.0,95.0,100.0,80.0,0.0,16.0
88,38.89961789880238,-77.02978158433127,1376.0,1187.0,42.0,34.0,103.0,0.0,10.0
108,38.89961789880238,-77.0207838427644,1382.0,1194.0,41.0,45.0,84.0,0.0,18.0
69,38.92661112350298,-77.03877932589815,1419.0,1168.0,62.0,119.0,56.0,0.0,14.0
68,38.917613381936114,-77.03877932589815,1485.0,1257.0,35.0,82.0,103.0,0.0,8.0
92,38.935608865069845,-77.02978158433127,1495.0,1238.0,65.0,122.0,51.0,0.0,19.0
109,38.90861564036925,-77.0207838427644,1590.0,1348.0,60.0,82.0,83.0,0.0,17.0
67,38.90861564036925,-77.03877932589815,1656.0,1393.0,27.0,72.0,153.0,0.0,11.0
91,38.92661112350298,-77.02978158433127,1696.0,1423.0,73.0,133.0,48.0,0.0,19.0
90,38.917613381936114,-77.02978158433127,1811.0,1577.0,62.0,96.0,69.0,0.0,7.0
89,38.90861564036925,-77.02978158433127,1897.0,1648.0,45.0,81.0,111.0,0.0,12.0
